1.Basin.Name;2.Country;3.Ecoregion;4.Endorheic.Status;5.Outlet.Longitude;6.Outlet.Latitude;7.Median.Longitude;8.Median.Latitude;9.Surface.Area
Amahlongwa;South Africa;Afrotropic;;30.77782249;-30.25079386;30.71384295;-30.22048361;104.647937
Wes.Kleinemonderivier;South Africa;Afrotropic;;27.05548429;-33.53801123;26.92516452;-33.47577348;108.1553131
Mhlatuzana;South Africa;Afrotropic;;31.03720691;-29.86816201;30.9485736;-29.85224579;108.4182662
Groot.Brakrivier;South Africa;Afrotropic;;22.23505073;-34.06587538;22.21070462;-33.95844122;164.4866405
Rio.Moebase;Mozambique;Afrotropic;;38.67752246;-17.04447969;38.67540798;-17.00802371;297.3171277
Kowie.River;South Africa;Afrotropic;;26.89585552;-33.59857617;26.71950899;-33.42107961;761.7425384
Swartrivier;South Africa;Afrotropic;;22.55149601;-34.00212619;22.52160155;-33.92644446;133.5061991
Bat.Gberi;Sierra Leone;Afrotropic;;-13.03928494;8.202898304;-13.06525843;8.293585108;142.984048
Knysnarivier;South Africa;Afrotropic;;22.99801647;-34.07632111;23.05541975;-33.93423079;389.4178605
Buffalo.River;South Africa;Afrotropic;;27.91159526;-33.01685751;27.47124441;-32.86492781;1298.028901
Sigi.River;Tanzania;Afrotropic;;39.12022;-5.023805671;38.78096437;-5.028713206;1118.442131
Zotsha;South Africa;Afrotropic;;30.43538721;-30.77794807;30.36982075;-30.75872933;138.4997561
Kisiwani;Kenya;Afrotropic;;39.71292037;-4.02963178;39.54208741;-3.831631871;667.5742795
Nyanga;Gabon;Afrotropic;;10.30334313;-2.976615016;11.56041426;-2.802463374;20244.12311
Swartkopsrivier;South Africa;Afrotropic;;25.6391387;-33.84646973;25.24194915;-33.73421147;1267.173934
Kosi.River;South Africa;Afrotropic;;32.84663042;-27.08383545;32.75830566;-27.04499605;567.6312341
Bakensrivier;South Africa;Afrotropic;;25.65103617;-33.97043467;25.52371431;-33.98053179;377.2269036
Qued.Kebir;Tunisia;Palearctic;;8.759153375;36.97308991;8.711384076;36.86456485;219.721394
Takoandra;Madagascar;Afrotropic;;47.80665834;-22.98011883;47.76156473;-22.98997392;167.7027736
So;Benin;Afrotropic;;2.458469873;6.345555787;2.327450368;8.62986062;51252.86976
Khawr.Arba.at;Sudan;Afrotropic;;37.23111497;19.89158663;36.67355248;19.48498311;4720.223269
Waanje;Sierra Leone;Afrotropic;;-11.88736545;7.166251027;-11.62719406;7.520838547;4460.54081
Ebe;Nigeria;Afrotropic;;8.532505994;4.761014837;8.686102492;5.169137855;2433.60121
Rheris;Algeria;Palearctic;Endorheic;;;-4.673795429;31.04992612;51958.68299
Rianila;Madagascar;Afrotropic;;49.104584;-18.974029;48.72203393;-18.67373405;7622.037024
Bahi.Swamp;Tanzania;Afrotropic;Endorheic;;;35.35112626;-5.46827865;26108.38038
Saint.John;Liberia;Afrotropic;;-10.07827111;5.928415567;-9.231565481;6.906010539;17053.21306
Saint.Paul;Liberia;Afrotropic;;-10.80271317;6.394626488;-9.535357948;7.644873257;20629.45756
San.Pedro.Ivory.Coast;Côte d'Ivoire;Afrotropic;;-6.608600732;4.736811877;-6.765407848;5.177160658;3369.985945
Sassandra;Côte d'Ivoire;Afrotropic;;-6.062522876;4.954475303;-7.14025972;7.380865157;74563.06236
Sebaou;Algeria;Palearctic;;3.847977259;36.91481989;4.145175712;36.65084871;2505.479778
Sebou;Morocco;Palearctic;;-6.498653143;34.52091572;-5.172728335;34.107725;38395.46996
Soumba;Guinea;Afrotropic;;-13.56251062;9.783858915;-13.46662313;9.896863402;474.2157183
Soummam;Algeria;Palearctic;;5.130472452;36.69437918;4.655208919;36.26685196;9196.830784
Sous;Morocco;Palearctic;;-9.609648037;30.36065846;-8.58139041;30.47451011;17401.8778
Tana;Kenya;Afrotropic;;40.38426045;-2.56431925;38.74705561;-1.23506192;95574.77188
Tana.lake;Ethiopia;Afrotropic;Endorheic;;;37.39873034;11.82853007;16254.21633
Tanganyika;Tanzania;Afrotropic;Endorheic;;;30.97050761;-5.591524209;232510.0285
Tano;Ghana;Afrotropic;;-2.878490243;5.030165272;-2.487969897;6.332060231;16079.34314
Tassili;Algeria;Palearctic;Endorheic;;;7.454023665;26.22187424;232268.9683
Tchad;Chad;Afrotropic;Endorheic;;;17.33703746;13.77682849;1942315.303
Tensift;Morocco;Palearctic;;-9.356321623;32.04285427;-8.398992159;31.52926958;20496.27278
Tugela;South Africa;Afrotropic;;31.48466263;-29.22219673;30.09277963;-28.50302726;29160.36938
Tunisia.un.1;Tunisia;Palearctic;;10.23247821;33.78395095;10.07006657;33.62940782;616.0906864
Tunisia.un.2;Tunisia;Palearctic;;10.39508689;33.67408001;10.25742694;33.51608886;228.4223674
Turkana;Ethiopia;Afrotropic;Endorheic;;;36.54653066;5.151155841;184419.6698
Enneri.Tomou;Libya;Palearctic;Endorheic;;;21.57155756;24.03877331;717903.769
Danakil.Depression;Ethiopia;Afrotropic;;40.20085365;14.96453076;40.23563441;13.41092242;48433.5188
Lake.Bunyonyi;Uganda;Afrotropic;Endorheic;;;29.806777;-1.255000145;969.3642045
Lac.Bulera;Rwanda;Afrotropic;Endorheic;;;29.80183118;-1.454987813;688.9454239
Oued.Abdallah;Libya;Palearctic;Endorheic;;;10.17216951;31.29110699;55833.37547
uMngeni;South Africa;Afrotropic;;31.04865934;-29.81651991;30.41209186;-29.52628298;4468.908902
Verlorenvlei;South Africa;Afrotropic;;18.33634491;-32.31014428;18.71626344;-32.57861189;1922.68408
Zerout;Tunisia;Palearctic;;10.51578951;35.98665774;9.44095169;35.52948296;15727.68495
Ziatine;Tunisia;Palearctic;;9.230396898;37.23406003;9.157970562;37.14737379;113.8649358
Zio;Togo;Afrotropic;;1.476452676;6.189825318;1.142689554;6.687330559;7264.048191
Chico;Argentina;Neotropic;;-68.66588731;-49.74997033;-70.72487405;-49.12974023;18260.76249
Chubut;Argentina;Neotropic;;-65.04079912;-43.34315235;-69.48477923;-44.27110909;98971.96132
Colorado.Argentina;Argentina;Neotropic;;-62.23149228;-39.84977081;-68.25029142;-33.60301215;301308.8506
Coyle;Argentina;Neotropic;;-69.35378919;-51.04328747;-71.07093937;-51.08209893;17036.85652
Deseado;Argentina;Neotropic;;-66.22170992;-47.83402976;-69.3388161;-46.98746641;24679.57045
Guarapari;Brazil;Neotropic;;-40.50429645;-20.6824108;-40.54254804;-20.66608923;280.6690272
