1.Basin.Name;2.Type.Source;3.Reference
Aliakmon;paper;Economou et al. 2007. The freshwater ichthyofauna of Greece - an update based on a hydrographic basin survey. Mediterranean Marine Science, Volume 8/1, 2007, 91-166
Alice;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Alice;online.database;"Fish Atlas of North Australia; http://www.jcu.edu.au/archive/actfr_old_Projects/FishAtlas/Index.htm (consulted in 3013)"
Allahein.River;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
Alligator.creek;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Allika;book;Ojaveer et al. 2003. Fishes of Estonia. Estonian Academy Publishers, Tallin, Estonia
Alsea;online.database;NatureServe. 2010. Digital Distribution Maps of the Freshwater Fishes in the Conterminous United States. Version 3.0. Arlington, VA. U.S.A. (http://www.natureserve.org/getData/fishMaps.jsp)
Alsek;book;McPhail J.D. & Carveth R.. 1994. Field key to the freshwater fishes of British Columbia. Fish Museum, Department of Zoology, University of British Columbia, Vancouver, Canada.
Altaelva;book;Reshetnikov Y.S.. 2002. Atlas of Russian Freshwater Fishes. Moscow Nauka, Vol. I. ISBN: 5-02-006507-2.
Altaelva;book;Reshetnikov Y.S.. 2002. Atlas of Russian Freshwater Fishes. Moscow Nauka, Vol. II. ISBN: 5-02-006506-4.
Altamaha;book;Hocutt C.H. & Wiley E.O. (Eds). 1986. The Zoogeography of North American Freshwater Fishes. John Wiley and Sons, Inc., New York. 866 p.
Altamaha;online.database;NatureServe. 2010. Digital Distribution Maps of the Freshwater Fishes in the Conterminous United States. Version 3.0. Arlington, VA. U.S.A. (http://www.natureserve.org/getData/fishMaps.jsp)
Altja;book;Ojaveer et al. 2003. Fishes of Estonia. Estonian Academy Publishers, Tallin, Estonia
Amahlongwa;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
Amansuri;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
Amazon;paper;Akama A. & Ferraris C. J. Jr..2011.Spinipterus, a new genus of small, spiny catfish (Siluriformes: Auchenipteridae) from the Peruvian Amazon..Zootaxa, 2992: 52–60.
Amazon;paper;Akama A. & Ferraris Jr. C.J..2003. Entomocorus melaphareus, a new species of auchenipterid catfish (Osteichthyes: Siluriformes) from the lower and middle reaches of the rio Amazonas. Neotropical Ichthyology, 1(2): 77-82.
Amazon;paper;Albert J.S. & Crampton W.G.R..2003. Seven new species of the neotropical electric fish Gymnotus (Teleostei, Gymnotiformes) with a redescription of G. carapo (Linnaeus). Zootaxa, 287: 1-54.
Amazon;paper;Albert J.S. & Crampton W.G.R..2009. A new species of electricknifefish, genus Compsaraia (Gymnotiformes : Apteronotidae) from the Amazon River, with extreme sexual dimorphism in snout and jaw length. Systematics and Biodiversity, 7(1): 81-92.
Amazon;paper;Albert J.S. & CramptonW. G.R..2006. Pariosternarchus amazonensis: a new genus and species of Neotropical electric fish (Gymnotiformes: Apteronotidae) from the Amazon River. Ichthyological Exploration of Freshwaters, 17(3): 267-274.
Amazon;book;Albert J.S., Carvalho T.P., Chuctaya J.A., Petry P., Reis R.E., Rengifo B., Ortega H..2012. Fishes of the Fitzcarrald Peruvian Amazon.Proyecto Alto Purus.
Amazon;paper;Aquino A.E. & Schaefer S.A..2010. Systematics of the Genus Hypoptopoma Günther, 1868 (Siluriformes, Loricariidae). Bulletin of the American Museum of Natural History, 336: 1-110.
Amazon;paper;Araújo, T. R. de, Ribeiro, A. C., Doria, C. R. da C. & Torrente-Vilara, G. Composition and trophic structure of the ichthyofauna from a stream downriver from Santo Antonio Falls in the Madeira River, Porto Velho, RO. Biota Neotropica 9, 21–29 (2009)
Amazon;paper;Arbour J. H. & López-Fernández H..2011.Guianacara dacrya, a new species from the rio Branco and Essequibo River drainages of the Guiana Shield (Perciformes: Cichlidae)..Neotropical Ichthyology, 9(1): 87-96.
Amazon;paper;Armbruster J. W..2003. Peckoltia sabaji, a new species from the Guyana Shield (Siluriformes: Loricariidae). Zootaxa, 344: 1-12.
Amazon;paper;Armbruster J.W. & de Souza L.S..2005. Hypostomus macushi, a new species of the Hypostomus cochliodon group (Siluriformes: Loricariidae) from Guyana. Zootaxa, 920: 1-12.
Amazon;paper;Armbruster J.W. & Page L.M..2006. Redescription of Pterygoplichthys punctatus and description of a new species of Pterygoplichthys (Siluriformes: Loricariidae). Neotropical Ichthyology, 4(4): 401-409.
Amazon;paper;Armbruster J.W..2003. The species of the Hypostomus cochliodon group (Siluriformes: Loricariidae). Zootaxa 249: 1-60.
Amazon;paper;Barbosa A.C., de Souza J., Dórea J.G., Jardim W.F. & Fadini P.S.. 2003. Mercury Biomagnification in a Tropical Black Water, Rio Negro, Brazil. Archives of Environmental Contamination and Toxicology, 45: 235-246.
Amazon;Master.Thesis;"Barletta M. 1995. Estudo da comunidade de peixes bentonicos em tres areas do canal principal, proximas a confluencia dos rios negro e salimoes amazonas. Tese de Mestre em ciencias biologicas; Universidade do amazonas."
Amazon;paper;Barthem R.B.. 1991. Life Strategies of some Long-Distance Migratory Catfish in Relation to Hydroelectric Dams in the Amazon Basin. Biological Conservation, 55: 339-345.
Amazon;paper;Bertaco A. & Garutti V..2007. New Astyanax from the upper rio Tapajós drainage, central Brazil (Characiformes: Characidae). Neotropical Ichthyology, 5(1): 25-30.
Amazon;paper;Bertaco A. & Malabarba L.R..2007. A new species of Hasemania from the Upper Rio Tapajós drainage, Brazil (Teleostei: Characiformes: Characidae). Copeia, 2007 (2): 350-354.
Amazon;paper;Bertaco A., Malabarba L.R., Hidalgo M. & Ortega H..2007. A new species of Hemibrycon (Teleostei: Characiformes: Characidae) from the río Ucayali drainage, Sierra del Divisor, Peru. Neotropical Ichthyology, 5(3): 251-257.
Amazon;paper;Bertaco V.A. & Carvalho T.P..2005. A new characid fish, Hyphessobrycon hexastichos (Characiformes: Characidae) from Chapada dos Parecis, Mato Grosso, Brazil.  Neotropical Ichthyology, 3(3): 439-443. 
Amazon;paper;Bertaco V.A. & Carvalho T.P..2005. New characid fish, Hemigrammus skolioplatus (Characiformes: Characidae) from upper Rio Tapajós drainage, central Brazil. Comunicações do Museu de Ciências e Technologia da PUCRS, Sér. Zoologia, 18(2): 141-150.
Amazon;paper;Bertaco V.A. & Malabarba L.R..2010. A review of the Cis-Andean species of Hemibrycon Günther (Teleostei: Characiformes: Characidae: Stevardiinae), with description of two new species. Neotropical Ichthyology, 8(4): 673-706.
Amazon;paper;Birindelli J. & Britski H.A..2009. New species of the genus Leporinus Agassiz (Characiformes: Anostomidae) from the rio Curuá, rio Xingu basin, Serra do Cachimbo, Brazil, with comments on Leporinus reticulatus. Neotrop. ichthyol., 7(1) : 1-9.
Amazon;paper;Birindelli J. L. O. & Sabaj Pérez M..2011.Ossancora, new genus of thorny catfish (Teleostei: Siluriformes: Doradidae) with description of one new species..Proceedings of the Academy of Natural Sciences of Philadelphia, 161: 117-152.
Amazon;paper;Birindelli J. L. O., Fayal D. F. & Wosiacki W. B..2011.Taxonomic revision of thorny catfish genus Hassar (Siluriformes: Doradidae)..Neotropical Ichthyology, 9 (3): 515-542.
Amazon;paper;Birindelli J., Zanata A.M., Sousa L.M. & Netto-Ferreira A.L..2009. New species of Jupiaba Zanata (Characiformes: Characidae) from Serra do Cachimbo, with comments on the endemism of upper rio Curuá, rio Xingu basin, Brazil. Neotrop. ichthyol., 7(1) : 11-18.
Amazon;paper;Birindelli J.L.O. & Sousa L.M..2010. New species of the thorny catfish genus Leptodoras (Siluriformes: Doradidae) from Rio Fresco, Xingu Basin, Brazil. Copeia, 2010(2): 292-299.
Amazon;paper;Birindelli J.L.O., Sousa L.M. & Sabaj Pérez M.H..2008. New species of thorny catfish, genus Leptodoras Boulenger (Siluriformes: Doradidae) from Tapajós and Xingu basins, Brazil. Neotropical Ichthyology, 6(3): 465-480.
Amazon;paper;Bogotá-Gregory J.D. & Maldonaldo-Ocampo J.D.. 2006. Peces de la zona hidrogeográphica de la Amazonia, Colombia. Biota Colombiana, 7: 55-94.
Amazon;paper;Bojsen B.H. & Barriga R.. 2002. Effects of deforestation on fish community structure in Ecuadorian Amazon streams. Freshwater Biology, 47: 2246-2260.
Amazon;paper;Britski H A. & Garavello J.C..2005. Uma nova espécie de Leporinus Agassiz, 1829, da bacia Amazonica (Ostariophysi: Characiformes: Anostomidae). Comunicações do Museu de Ciências e Technologia da PUCRS, Sér. Zoologia, 18(2): 75-83.
Amazon;paper;Britski H. A. & Akama, A..2011.New species of Trachycorystes Bleeker, with comments on other species of the genus (Ostariophysi: Siluriformes: Auchenipteridae)..Neotropical Ichthyology, 9(2): 273-279.
Amazon;paper;Britski H.A. & Garavello J.C..2007. Description of two new sympatric species of the genus Hisonotus Eigenmann and Eigenmann, 1889, from upper Rio Tapajós, Mato Grosso state, Brazil (Pisces: Ostariophysi: Loricariidae). Brazilian Journal of Biology, 67(3): 413-420.
Amazon;paper;Britski H.A. & Lima F.C.T..2008. A New Species of Hemigrammus from the Upper Rio Tapajós Basin in Brazil (Teleostei:Characiformes:Characidae). Copeia, 2008 (3): 565-569.
Amazon;paper;Britto M.R. & Lima F.C.T..2003. Corydoras tukano, a new species of corydoradine catfish from the rio Tiquié, upper rio Negro basin, Brazil (Ostariophysi: Siluriformes: Callichthyidae). Neotropical Ichthyology, 1(2): 83-91.
Amazon;paper;Britto M.R., Lima F.C.T. & Hidalgo M.H..2007. Corydoras ortegai, a new species of corydoradine catfish from the lower río Putumayo in Peru (Ostariophysi: Siluriformes: Callichthyidae). Neotropical Ichthyology, 5(3): 293-300.
Amazon;paper;Britto M.R., Wosiacki W.B. & Montag L.F.A..2009. A new species of Corydoradinae catfish (Ostariophysi: Siluriformes: Callichthyidae) from Rio Solimões basin, Brazil. Copeia, 2009(4) : 684-689.
Amazon;paper;Bührnheim C.M. & Malabarba L.R..2006. Redescription of the type species of Odontostilbe Cope, 1870 (Teleostei: Characidae: Cheirodontinae), and description of three new species from the Amazon basin. Neotropical Ichthyology, 4(2): 167-196.
Amazon;paper;Bührnheim C.M., Carvalho T.P., Malabarba L.R. & Weitzman S.H.. A new genus and species of characid fish from the Amazon basin - the recognition of a relictual lineage of characid fishes (Ostariophysi: Cheirodontinae: Cheirodontini). Neotropical Ichthyology, 6(4): 663-678.
Amazon;paper;Bührnheim, C. M. & Fernandes, C. C. Structure of Fish Assemblages in Amazonian Rain-Forest Streams: Effects of Habitats and Locality. Copeia 2003, 255–262 (2003).
Amazon;paper;Buhrnheim, C. M. Heterogeneidade de habitats: rasos e fundos em assembléias de peixes de igarapés de terra firme na Amazônia Central, Brasil. Revista Brasileira de Zoologia 19, 889–905 (2002).
Amazon;paper;Caires R. A. & Figueiredo J. L. de.2011.Review of the genus Microphilypnus Myers, 1927 (Teleostei: Gobioidei: Eleotridae) from the lower Amazon basin, with description of one new species..Zootaxa, 3036: 39–57.
Amazon;unpub.data;"Carlos Lasso (Instituto Humboldt; Bogota), unpublished data"
Amazon;paper;Carvalho M. R. de & Lovejoy N. R..2011.Checklist of the freshwater fishes of Colombia..Biota Colombiana, 9(2): 143-237. 
Amazon;paper;Carvalho M. R. de & Ragno M. P..2011.An unusual, dwarf new species of Neotropical freshwater stingray, Plesiotrygon nana sp. nov., from the upper and mid Amazon basin: the second species of Plesiotrygon (Chondrichthyes: Potamotrygonidae)..Pap. Avulsos Zool. (São Paulo), 51(7): 101-138.
Amazon;paper;Carvalho M. R., Sabaj Perez M. H. & Lovejoy N. R..2011.Potamotrygon tigrina, a new species of freshwater stingray from the upper Amazon basin, closely related to Potamotrygon schroederi Fernandez-Yépez, 1958 (Chondrichthyes: Potamotrygonidae)..Zootaxa, 2827: 1–30.
Amazon;paper;Carvalho P.H., Lima F.C.T. & Zawadzki C.H..2010. Two new species of the Hypostomus cochliodon group (Siluriformes: Loricariidae) from the rio Negro basin in Brazil. Neotropical Ichthyology, 8(1): 39-48.
Amazon;paper;Carvalho T.P. & Bertaco V.A..2006. Two new species of Hyphessobrycon (Teleostei: Characidae) from upper rio Tapajós basin on Chapada dos Parecis, central Brazil. Neotropical Ichthyology, 4(3): 301-308.
Amazon;paper;Chernoff, B., Machado-Allison, A., Willink, P., Sarmiento, J., Barrera, S., Menezes, N. and Ortega, H. 2000. Fishes of three Bolivian Rivers: diversity, distribution and conservation. - Interciencia 25: 273-283.
Amazon;paper;Correa S.B., Crampton W.G.R. & Albert J.S..2006. Three new species of the neotropical electric fish Rhabdolichops (Gymnotiformes: Sternopygidae) from the central Amazon, with a new diagnosis of the genus. Copeia, 2006 (1): 27-42.
Amazon;paper;Costa W. J. E. M. & De Luca A. C..2011(2010).Rivulus cajariensis, a new killifish from the Guiana Shield of Brazil, eastern Amazon (Cyprinodontiformes: Rivulidae)..Ichthyological Exploration of Freshwaters, 21(4) [2010]: 353-358.
Amazon;paper;Costa W. J. E. M. & De Luca A. C..2011(2010).Rivulus schuncki, a new species of the killifish subgenus Melanorivulus, from eastern Brazilian Amazon (Cyprinodontiformes: Rivulidae)..Ichthyological Exploration of Freshwaters, 21(4): 289-293.
Amazon;paper;Costa W.J.E.M. & Lazzarotto H..2008. Rivulus amanan, a new killifish from the Japurá river drainage, Amazonas river basin, Brazil (Cyprinodontiformes: Rivulidae). Ichthyological Exploration of Freshwaters, 19(2): 129-134.
Amazon;paper;Costa W.J.E.M. & Nielsen D.T.B..2003. Simpsonichthys reticulatus n. sp. (Cyprinodontiformes: Rivulidae): a new annual fish from the Rio Xingu floodplains, Brazilian Amazon. Aqua, Journal of Ichthyology and Aquatic Biology, 7(3): 119-122.
Amazon;paper;Costa W.J.E.M..2003. A new miniature rivuline fish from the upper Negro river basin, northern Brazil (Teleostei, Cyprinodontiformes, Rivulidae). Arquivos do Museu Nacional do Rio de Janeiro, 61: 175-178.
Amazon;paper;Costa W.J.E.M..2003. Moema nudifrontata, sp. nov. (Cyprinodontiformes: Rivulidae): a new annual fish from the Brazilian Amazon. Comunicações do Museu de Ciências e Technologia da PUCRS, Sér. Zoologia, 16(2): 167-174.
Amazon;paper;Costa W.J.E.M..2003. Three new annual fishes of the genus Aphyolebias Costa 1998 (Cyprinodontiformes: Rivulidae) from Bolivian and Peruvian Amazon. Comunicações do Museu de Ciências e Technologia da PUCRS, Sér. Zoologia, 16(2): 155-166.
Amazon;paper;Costa W.J.E.M..2003. Two new annual fishes of the genus Moema Costa 1989, from the Peruvian Amazon (Teleostei, Cyprinodontiformes, Rivulidae). Boletim do Museu Nacional do Rio de Janeiro, Nova Série. Zoologia, 513: 1-10.
Amazon;paper;Costa W.J.E.M..2004. Moema apurinan sp. n. and Aphyolebias boticarioi sp. n. (Teleostei: Cyprinodontiformes: Rivulidae): two new annual killifishes from the Rio Purus basin, Brazilian Amazon. Zootaxa, 707: 1-12.
Amazon;paper;Costa W.J.E.M..2004. Rivulus kirovskyi, a new killifish from the central Amazon, Brazil (Cyprinodontiformes: Rivulidae). Neotropical Ichthyology, 2 (1): 9-12.
